title,company_name,location,category,job_type,salary,experience,salary_min,salary_max,url,description,tags,published_at
PR Executive,VietFuture Vietnam,Ho Chi Minh City,Marketing,Full-time,30-34 trieu VND,5+ nam,30000000,34000000,https://jobs.local/topcv/pr-executive-81,Tuyen dung PR Executive tai VietFuture Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-03-27T22:28:05+07:00
Accountant,Skyline Solutions,Dong Nai,Finance,Remote,38-46 trieu VND,5+ nam,38000000,46000000,https://jobs.local/topcv/accountant-82,Tuyen dung Accountant tai Skyline Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-14T22:28:05+07:00
Accountant,Skyline Vietnam,Hanoi,Finance,Shift,18-21 trieu VND,1-3 nam,18000000,21000000,https://jobs.local/topcv/accountant-83,Tuyen dung Accountant tai Skyline Vietnam o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-14T23:28:05+07:00
Logistics Coordinator,GlobalNext Vietnam,Ho Chi Minh City,Supply Chain,Remote,23-28 trieu VND,3-5 nam,23000000,28000000,https://jobs.local/topcv/logistics-coordinator-84,Tuyen dung Logistics Coordinator tai GlobalNext Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-17T13:28:05+07:00
HR Executive,AnPhat Group,Dong Nai,Human Resources,Full-time,12-15 trieu VND,1-3 nam,12000000,15000000,https://jobs.local/topcv/hr-executive-85,Tuyen dung HR Executive tai AnPhat Group o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-07T21:28:05+07:00
Business Development Manager,MinhLong Vietnam,Can Tho,Sales,Remote,10-18 trieu VND,1-3 nam,10000000,18000000,https://jobs.local/topcv/business-development-manager-86,Tuyen dung Business Development Manager tai MinhLong Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-04-02T20:28:05+07:00
Accountant,GlobalNext Group,Can Tho,Finance,Hybrid,30-44 trieu VND,5+ nam,30000000,44000000,https://jobs.local/topcv/accountant-87,Tuyen dung Accountant tai GlobalNext Group o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-03-23T08:28:05+07:00
Marketing Specialist,GlobalNext Vietnam,Bac Ninh,Marketing,Full-time,31-34 trieu VND,5+ nam,31000000,34000000,https://jobs.local/topcv/marketing-specialist-88,Tuyen dung Marketing Specialist tai GlobalNext Vietnam o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-03-30T17:28:05+07:00
Operations Staff,GlobalNext Group,Hai Phong,Operations,Part-time,12-17 trieu VND,1-3 nam,12000000,17000000,https://jobs.local/topcv/operations-staff-89,Tuyen dung Operations Staff tai GlobalNext Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-03-22T21:28:05+07:00
Sales Executive,Sunrise JSC,Bac Ninh,Sales,Shift,8-13 trieu VND,0-1 nam,8000000,13000000,https://jobs.local/topcv/sales-executive-90,Tuyen dung Sales Executive tai Sunrise JSC o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-04-01T09:28:05+07:00
Logistics Coordinator,NovaLink JSC,Hanoi,Supply Chain,Shift,28-30 trieu VND,3-5 nam,28000000,30000000,https://jobs.local/topcv/logistics-coordinator-91,Tuyen dung Logistics Coordinator tai NovaLink JSC o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-03-15T02:28:05+07:00
Legal Counsel,NovaLink JSC,Da Nang,Legal,Remote,22-25 trieu VND,2-4 nam,22000000,25000000,https://jobs.local/topcv/legal-counsel-92,Tuyen dung Legal Counsel tai NovaLink JSC o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-03-29T04:28:05+07:00
Administrative Officer,MinhLong Group,Dong Nai,Administration,Hybrid,17-26 trieu VND,5+ nam,17000000,26000000,https://jobs.local/topcv/administrative-officer-93,Tuyen dung Administrative Officer tai MinhLong Group o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-14T13:28:05+07:00
Civil Engineer,BlueOcean JSC,Dong Nai,Construction,Remote,9-14 trieu VND,0-1 nam,9000000,14000000,https://jobs.local/topcv/civil-engineer-94,Tuyen dung Civil Engineer tai BlueOcean JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-04-10T12:28:05+07:00
Legal Counsel,VietFuture Solutions,Hanoi,Legal,Shift,45-58 trieu VND,5+ nam,45000000,58000000,https://jobs.local/topcv/legal-counsel-95,Tuyen dung Legal Counsel tai VietFuture Solutions o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-04-25T22:28:05+07:00
Civil Engineer,BlueOcean Group,Dong Nai,Construction,Full-time,27-34 trieu VND,5+ nam,27000000,34000000,https://jobs.local/topcv/civil-engineer-96,Tuyen dung Civil Engineer tai BlueOcean Group o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-03-18T08:28:05+07:00
Legal Counsel,MinhLong Group,Da Nang,Legal,Remote,21-24 trieu VND,2-4 nam,21000000,24000000,https://jobs.local/topcv/legal-counsel-97,Tuyen dung Legal Counsel tai MinhLong Group o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-04-14T15:28:05+07:00
Auditor,BlueOcean Solutions,Bac Ninh,Finance,Part-time,15-18 trieu VND,2-4 nam,15000000,18000000,https://jobs.local/topcv/auditor-98,Tuyen dung Auditor tai BlueOcean Solutions o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-03-31T10:28:05+07:00
Procurement Specialist,GlobalNext Solutions,Hanoi,Supply Chain,Full-time,25-30 trieu VND,3-5 nam,25000000,30000000,https://jobs.local/topcv/procurement-specialist-99,Tuyen dung Procurement Specialist tai GlobalNext Solutions o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"procurement,sourcing,vendor",2026-03-16T03:28:05+07:00
Legal Counsel,GreenTech Solutions,Dong Nai,Legal,Hybrid,10-15 trieu VND,0-1 nam,10000000,15000000,https://jobs.local/topcv/legal-counsel-100,Tuyen dung Legal Counsel tai GreenTech Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-04-24T22:28:05+07:00
Auditor,Skyline JSC,Hanoi,Finance,Part-time,16-19 trieu VND,1-3 nam,16000000,19000000,https://jobs.local/topcv/auditor-101,Tuyen dung Auditor tai Skyline JSC o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-10T12:28:05+07:00
HR Executive,VietFuture Solutions,Dong Nai,Human Resources,Full-time,15-20 trieu VND,2-4 nam,15000000,20000000,https://jobs.local/topcv/hr-executive-102,Tuyen dung HR Executive tai VietFuture Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-16T23:28:05+07:00
Accountant,MinhLong Vietnam,Binh Duong,Finance,Part-time,27-31 trieu VND,3-5 nam,27000000,31000000,https://jobs.local/topcv/accountant-103,Tuyen dung Accountant tai MinhLong Vietnam o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-03-30T16:28:05+07:00
HR Executive,MinhLong Solutions,Can Tho,Human Resources,Hybrid,11-14 trieu VND,1-3 nam,11000000,14000000,https://jobs.local/topcv/hr-executive-104,Tuyen dung HR Executive tai MinhLong Solutions o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-11T00:28:05+07:00
Civil Engineer,Sunrise Solutions,Can Tho,Construction,Hybrid,21-25 trieu VND,3-5 nam,21000000,25000000,https://jobs.local/topcv/civil-engineer-105,Tuyen dung Civil Engineer tai Sunrise Solutions o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-04-17T20:28:05+07:00
Administrative Officer,GlobalNext Group,Hai Phong,Administration,Remote,7-10 trieu VND,0-1 nam,7000000,10000000,https://jobs.local/topcv/administrative-officer-106,Tuyen dung Administrative Officer tai GlobalNext Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-31T17:28:05+07:00
Administrative Officer,BlueOcean Group,Hai Phong,Administration,Part-time,17-24 trieu VND,5+ nam,17000000,24000000,https://jobs.local/topcv/administrative-officer-107,Tuyen dung Administrative Officer tai BlueOcean Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-04-05T11:28:05+07:00
Administrative Officer,MinhLong Group,Can Tho,Administration,Hybrid,6-9 trieu VND,0-1 nam,6000000,9000000,https://jobs.local/topcv/administrative-officer-108,Tuyen dung Administrative Officer tai MinhLong Group o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-30T15:28:05+07:00
Sales Executive,GlobalNext Group,Binh Duong,Sales,Shift,18-22 trieu VND,2-4 nam,18000000,22000000,https://jobs.local/topcv/sales-executive-109,Tuyen dung Sales Executive tai GlobalNext Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-03-23T02:28:05+07:00
Construction Supervisor,Sunrise JSC,Hanoi,Construction,Shift,23-27 trieu VND,3-5 nam,23000000,27000000,https://jobs.local/topcv/construction-supervisor-110,Tuyen dung Construction Supervisor tai Sunrise JSC o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-10T01:28:05+07:00
Accountant,VietFuture Group,Dong Nai,Finance,Hybrid,15-22 trieu VND,2-4 nam,15000000,22000000,https://jobs.local/topcv/accountant-111,Tuyen dung Accountant tai VietFuture Group o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-03-22T09:28:05+07:00
Auditor,MinhLong JSC,Hai Phong,Finance,Hybrid,9-13 trieu VND,0-1 nam,9000000,13000000,https://jobs.local/topcv/auditor-112,Tuyen dung Auditor tai MinhLong JSC o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-03-27T13:28:05+07:00
Logistics Coordinator,VietFuture Solutions,Binh Duong,Supply Chain,Shift,33-39 trieu VND,5+ nam,33000000,39000000,https://jobs.local/topcv/logistics-coordinator-113,Tuyen dung Logistics Coordinator tai VietFuture Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-03T21:28:05+07:00
Civil Engineer,BlueOcean Solutions,Bac Ninh,Construction,Part-time,15-21 trieu VND,2-4 nam,15000000,21000000,https://jobs.local/topcv/civil-engineer-114,Tuyen dung Civil Engineer tai BlueOcean Solutions o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-04-09T11:28:05+07:00
Marketing Specialist,AnPhat Group,Hai Phong,Marketing,Shift,23-28 trieu VND,3-5 nam,23000000,28000000,https://jobs.local/topcv/marketing-specialist-115,Tuyen dung Marketing Specialist tai AnPhat Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-04-01T02:28:05+07:00
HR Executive,MinhLong Solutions,Hanoi,Human Resources,Shift,12-16 trieu VND,1-3 nam,12000000,16000000,https://jobs.local/topcv/hr-executive-116,Tuyen dung HR Executive tai MinhLong Solutions o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-24T07:28:05+07:00
Marketing Specialist,GreenTech Vietnam,Ho Chi Minh City,Marketing,Hybrid,24-32 trieu VND,3-5 nam,24000000,32000000,https://jobs.local/topcv/marketing-specialist-117,Tuyen dung Marketing Specialist tai GreenTech Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-03-14T07:28:05+07:00
Legal Counsel,MinhLong JSC,Da Nang,Legal,Remote,28-38 trieu VND,3-5 nam,28000000,38000000,https://jobs.local/topcv/legal-counsel-118,Tuyen dung Legal Counsel tai MinhLong JSC o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-04-09T07:28:05+07:00
Logistics Coordinator,VietFuture Group,Dong Nai,Supply Chain,Shift,10-18 trieu VND,1-3 nam,10000000,18000000,https://jobs.local/topcv/logistics-coordinator-119,Tuyen dung Logistics Coordinator tai VietFuture Group o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-12T16:28:05+07:00
PR Executive,Skyline JSC,Can Tho,Marketing,Shift,19-28 trieu VND,3-5 nam,19000000,28000000,https://jobs.local/topcv/pr-executive-120,Tuyen dung PR Executive tai Skyline JSC o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-21T17:28:05+07:00
Marketing Specialist,PrimeX Solutions,Binh Duong,Marketing,Shift,31-37 trieu VND,5+ nam,31000000,37000000,https://jobs.local/topcv/marketing-specialist-121,Tuyen dung Marketing Specialist tai PrimeX Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-03-19T04:28:05+07:00
PR Executive,VietFuture Solutions,Binh Duong,Marketing,Full-time,35-39 trieu VND,5+ nam,35000000,39000000,https://jobs.local/topcv/pr-executive-122,Tuyen dung PR Executive tai VietFuture Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-18T07:28:05+07:00
HR Executive,BlueOcean Group,Binh Duong,Human Resources,Remote,22-25 trieu VND,3-5 nam,22000000,25000000,https://jobs.local/topcv/hr-executive-123,Tuyen dung HR Executive tai BlueOcean Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-25T17:28:05+07:00
Operations Staff,Sunrise JSC,Binh Duong,Operations,Hybrid,9-12 trieu VND,0-1 nam,9000000,12000000,https://jobs.local/topcv/operations-staff-124,Tuyen dung Operations Staff tai Sunrise JSC o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-03-27T19:28:05+07:00
PR Executive,AnPhat Solutions,Da Nang,Marketing,Remote,30-37 trieu VND,5+ nam,30000000,37000000,https://jobs.local/topcv/pr-executive-125,Tuyen dung PR Executive tai AnPhat Solutions o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-03-16T03:28:05+07:00
PR Executive,Sunrise Solutions,Binh Duong,Marketing,Shift,11-14 trieu VND,1-3 nam,11000000,14000000,https://jobs.local/topcv/pr-executive-126,Tuyen dung PR Executive tai Sunrise Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-05T10:28:05+07:00
Construction Supervisor,Sunrise Group,Da Nang,Construction,Part-time,9-12 trieu VND,0-1 nam,9000000,12000000,https://jobs.local/topcv/construction-supervisor-127,Tuyen dung Construction Supervisor tai Sunrise Group o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-16T08:28:05+07:00
Procurement Specialist,NovaLink Group,Hanoi,Supply Chain,Remote,28-30 trieu VND,3-5 nam,28000000,30000000,https://jobs.local/topcv/procurement-specialist-128,Tuyen dung Procurement Specialist tai NovaLink Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"procurement,sourcing,vendor",2026-04-27T10:28:05+07:00
Real Estate Consultant,GreenTech Solutions,Binh Duong,Real Estate,Full-time,13-17 trieu VND,1-3 nam,13000000,17000000,https://jobs.local/topcv/real-estate-consultant-129,Tuyen dung Real Estate Consultant tai GreenTech Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-04-27T02:28:05+07:00
Accountant,GreenTech Group,Da Nang,Finance,Shift,13-17 trieu VND,1-3 nam,13000000,17000000,https://jobs.local/topcv/accountant-130,Tuyen dung Accountant tai GreenTech Group o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-20T23:28:05+07:00
PR Executive,VietFuture Group,Hanoi,Marketing,Part-time,10-13 trieu VND,0-1 nam,10000000,13000000,https://jobs.local/topcv/pr-executive-131,Tuyen dung PR Executive tai VietFuture Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-23T00:28:05+07:00
Business Development Manager,NovaLink Solutions,Dong Nai,Sales,Full-time,9-11 trieu VND,0-1 nam,9000000,11000000,https://jobs.local/topcv/business-development-manager-132,Tuyen dung Business Development Manager tai NovaLink Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-03-18T01:28:05+07:00
PR Executive,BlueOcean JSC,Hai Phong,Marketing,Remote,27-31 trieu VND,5+ nam,27000000,31000000,https://jobs.local/topcv/pr-executive-133,Tuyen dung PR Executive tai BlueOcean JSC o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-23T21:28:05+07:00
Civil Engineer,GlobalNext Group,Binh Duong,Construction,Full-time,16-20 trieu VND,1-3 nam,16000000,20000000,https://jobs.local/topcv/civil-engineer-134,Tuyen dung Civil Engineer tai GlobalNext Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-03-27T07:28:05+07:00
PR Executive,Skyline Solutions,Ho Chi Minh City,Marketing,Full-time,31-44 trieu VND,5+ nam,31000000,44000000,https://jobs.local/topcv/pr-executive-135,Tuyen dung PR Executive tai Skyline Solutions o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-18T08:28:05+07:00
PR Executive,GlobalNext Group,Hai Phong,Marketing,Full-time,31-35 trieu VND,5+ nam,31000000,35000000,https://jobs.local/topcv/pr-executive-136,Tuyen dung PR Executive tai GlobalNext Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-03-31T04:28:05+07:00
Administrative Officer,Sunrise Group,Binh Duong,Administration,Remote,17-20 trieu VND,3-5 nam,17000000,20000000,https://jobs.local/topcv/administrative-officer-137,Tuyen dung Administrative Officer tai Sunrise Group o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-04-02T22:28:05+07:00
PR Executive,BlueOcean Solutions,Dong Nai,Marketing,Full-time,8-11 trieu VND,0-1 nam,8000000,11000000,https://jobs.local/topcv/pr-executive-138,Tuyen dung PR Executive tai BlueOcean Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-03-24T02:28:05+07:00
Marketing Specialist,AnPhat Vietnam,Binh Duong,Marketing,Remote,19-27 trieu VND,3-5 nam,19000000,27000000,https://jobs.local/topcv/marketing-specialist-139,Tuyen dung Marketing Specialist tai AnPhat Vietnam o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-03-21T02:28:05+07:00
Customer Service Specialist,PrimeX Group,Hai Phong,Operations,Remote,28-32 trieu VND,5+ nam,28000000,32000000,https://jobs.local/topcv/customer-service-specialist-140,Tuyen dung Customer Service Specialist tai PrimeX Group o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-24T10:28:05+07:00
Administrative Officer,PrimeX Vietnam,Ho Chi Minh City,Administration,Full-time,20-22 trieu VND,3-5 nam,20000000,22000000,https://jobs.local/topcv/administrative-officer-141,Tuyen dung Administrative Officer tai PrimeX Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-26T04:28:05+07:00
PR Executive,NovaLink Group,Da Nang,Marketing,Hybrid,24-30 trieu VND,3-5 nam,24000000,30000000,https://jobs.local/topcv/pr-executive-142,Tuyen dung PR Executive tai NovaLink Group o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-24T14:28:05+07:00
Construction Supervisor,Skyline Vietnam,Hai Phong,Construction,Part-time,33-36 trieu VND,5+ nam,33000000,36000000,https://jobs.local/topcv/construction-supervisor-143,Tuyen dung Construction Supervisor tai Skyline Vietnam o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-03-28T17:28:05+07:00
Auditor,GlobalNext Vietnam,Bac Ninh,Finance,Remote,18-25 trieu VND,2-4 nam,18000000,25000000,https://jobs.local/topcv/auditor-144,Tuyen dung Auditor tai GlobalNext Vietnam o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-03-28T09:28:05+07:00
HR Executive,MinhLong Vietnam,Dong Nai,Human Resources,Hybrid,8-11 trieu VND,0-1 nam,8000000,11000000,https://jobs.local/topcv/hr-executive-145,Tuyen dung HR Executive tai MinhLong Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-14T05:28:05+07:00
Sales Executive,VietFuture Group,Hanoi,Sales,Remote,9-14 trieu VND,0-1 nam,9000000,14000000,https://jobs.local/topcv/sales-executive-146,Tuyen dung Sales Executive tai VietFuture Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-04-04T06:28:05+07:00
HR Executive,Sunrise Vietnam,Can Tho,Human Resources,Remote,22-25 trieu VND,5+ nam,22000000,25000000,https://jobs.local/topcv/hr-executive-147,Tuyen dung HR Executive tai Sunrise Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-03-30T19:28:05+07:00
Logistics Coordinator,BlueOcean JSC,Dong Nai,Supply Chain,Full-time,28-38 trieu VND,5+ nam,28000000,38000000,https://jobs.local/topcv/logistics-coordinator-148,Tuyen dung Logistics Coordinator tai BlueOcean JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-26T12:28:05+07:00
Warehouse Operator,MinhLong JSC,Dong Nai,Labor,Part-time,11-16 trieu VND,2-4 nam,11000000,16000000,https://jobs.local/topcv/warehouse-operator-149,Tuyen dung Warehouse Operator tai MinhLong JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-04-26T20:28:05+07:00
Real Estate Consultant,AnPhat Vietnam,Da Nang,Real Estate,Part-time,24-27 trieu VND,3-5 nam,24000000,27000000,https://jobs.local/topcv/real-estate-consultant-150,Tuyen dung Real Estate Consultant tai AnPhat Vietnam o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-03-28T22:28:05+07:00
Logistics Coordinator,Sunrise JSC,Dong Nai,Supply Chain,Shift,22-25 trieu VND,3-5 nam,22000000,25000000,https://jobs.local/topcv/logistics-coordinator-151,Tuyen dung Logistics Coordinator tai Sunrise JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-03T17:28:05+07:00
Warehouse Operator,VietFuture JSC,Binh Duong,Labor,Remote,12-14 trieu VND,2-4 nam,12000000,14000000,https://jobs.local/topcv/warehouse-operator-152,Tuyen dung Warehouse Operator tai VietFuture JSC o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-04-20T14:28:05+07:00
Sales Executive,BlueOcean Solutions,Binh Duong,Sales,Full-time,21-29 trieu VND,3-5 nam,21000000,29000000,https://jobs.local/topcv/sales-executive-153,Tuyen dung Sales Executive tai BlueOcean Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-04-02T14:28:05+07:00
Accountant,NovaLink JSC,Hai Phong,Finance,Remote,13-19 trieu VND,1-3 nam,13000000,19000000,https://jobs.local/topcv/accountant-154,Tuyen dung Accountant tai NovaLink JSC o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-09T22:28:05+07:00
Administrative Officer,MinhLong Vietnam,Ho Chi Minh City,Administration,Shift,25-27 trieu VND,5+ nam,25000000,27000000,https://jobs.local/topcv/administrative-officer-155,Tuyen dung Administrative Officer tai MinhLong Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-23T09:28:05+07:00
Auditor,BlueOcean Vietnam,Ho Chi Minh City,Finance,Remote,33-35 trieu VND,3-5 nam,33000000,35000000,https://jobs.local/topcv/auditor-156,Tuyen dung Auditor tai BlueOcean Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-03-23T13:28:05+07:00
PR Executive,MinhLong Solutions,Dong Nai,Marketing,Remote,8-11 trieu VND,0-1 nam,8000000,11000000,https://jobs.local/topcv/pr-executive-157,Tuyen dung PR Executive tai MinhLong Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-18T06:28:05+07:00
Civil Engineer,NovaLink Group,Bac Ninh,Construction,Full-time,15-19 trieu VND,1-3 nam,15000000,19000000,https://jobs.local/topcv/civil-engineer-158,Tuyen dung Civil Engineer tai NovaLink Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-04-10T17:28:05+07:00
Real Estate Consultant,GlobalNext JSC,Bac Ninh,Real Estate,Remote,10-17 trieu VND,1-3 nam,10000000,17000000,https://jobs.local/topcv/real-estate-consultant-159,Tuyen dung Real Estate Consultant tai GlobalNext JSC o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-03-22T15:28:05+07:00
Marketing Specialist,NovaLink Solutions,Dong Nai,Marketing,Shift,20-24 trieu VND,3-5 nam,20000000,24000000,https://jobs.local/topcv/marketing-specialist-160,Tuyen dung Marketing Specialist tai NovaLink Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-03-27T16:28:05+07:00
Construction Supervisor,GlobalNext Vietnam,Hai Phong,Construction,Hybrid,26-30 trieu VND,3-5 nam,26000000,30000000,https://jobs.local/topcv/construction-supervisor-161,Tuyen dung Construction Supervisor tai GlobalNext Vietnam o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-03-17T08:28:05+07:00
